directory,base_name,replicated_n,strain,worm_id,day,ventral_orientation,timestamp,id
/Volumes/behavgenom_archive$/Celine/results/CB1112,36_R#1_CB1112#3_L4_CW_2014_02_21__14_19_18___8___9,1,CB1112,3,0,CW,2014-02-21 14:19:18,0
/Volumes/behavgenom_archive$/Celine/results/CB1112,36_R#1_CB1112#3_day3_CCW_2014_02_24__15_40_09___8___9,1,CB1112,3,3,CCW,2014-02-24 15:40:09,1
/Volumes/behavgenom_archive$/Celine/results/CB1112,36_R#1_CB1112#3_day4_CW_2014_02_25__14_29_00___8___9,1,CB1112,3,4,CW,2014-02-25 14:29:00,2
/Volumes/behavgenom_archive$/Celine/results/CB1112,36_R#1_CB1112#3_day5_CW_2014_02_26__13_43_06___8___9,1,CB1112,3,5,CW,2014-02-26 13:43:06,3
/Volumes/behavgenom_archive$/Celine/results/CB1112,36_R#1_CB1112#3_day6_CCW_2014_02_27__12_59_55___8___8,1,CB1112,3,6,CCW,2014-02-27 12:59:55,4
/Volumes/behavgenom_archive$/Celine/results/CB1112,36_R#1_CB1112#3_day7_CCW_2014_02_28__12_34_35___8___8,1,CB1112,3,7,CCW,2014-02-28 12:34:35,5
/Volumes/behavgenom_archive$/Celine/results/CB1112,36_R#1_CB1112#3_day8_CCW_2014_03_01__17_48_42___8___9,1,CB1112,3,8,CCW,2014-03-01 17:48:42,6
/Volumes/behavgenom_archive$/Celine/results/CB1112,36_R#1_CB1112#3_day9_CCW_2014_03_02__17_08_59___8___9,1,CB1112,3,9,CCW,2014-03-02 17:08:59,7
/Volumes/behavgenom_archive$/Celine/results/CB1112,24_R#1_CB1112#4_L4_CCW_2014_02_21__13_14_44___8___6,1,CB1112,4,0,CCW,2014-02-21 13:14:44,8
/Volumes/behavgenom_archive$/Celine/results/CB1112,24_R#1_CB1112#4_day1_CCW_2014_02_22__15_02_50___8___6,1,CB1112,4,1,CCW,2014-02-22 15:02:50,9
/Volumes/behavgenom_archive$/Celine/results/CB1112,24_R#1_CB1112#4_day2_CW_2014_02_23__14_33_12___8___6,1,CB1112,4,2,CW,2014-02-23 14:33:12,10
/Volumes/behavgenom_archive$/Celine/results/CB1112,24_R#1_CB1112#4_day3_CCW_2014_02_24__14_40_38___8___6,1,CB1112,4,3,CCW,2014-02-24 14:40:38,11
/Volumes/behavgenom_archive$/Celine/results/CB1112,24_R#1_CB1112#4_day4_CCW_2014_02_25__13_34_54___8___6,1,CB1112,4,4,CCW,2014-02-25 13:34:54,12
/Volumes/behavgenom_archive$/Celine/results/CB1112,24_R#1_CB1112#4_day5_CCW_2014_02_26__11_37_34___8___6,1,CB1112,4,5,CCW,2014-02-26 11:37:34,13
/Volumes/behavgenom_archive$/Celine/results/CB1112,24_R#1_CB1112#4_day6_CCW_2014_02_27__10_31_17___8___6,1,CB1112,4,6,CCW,2014-02-27 10:31:17,14
